Reg no,Date,Product,Courier,Order Status,Price,Publicidade?,Notas,PriceTotal,SplitCount,SplitIndex,DateOriginal,SourceFile,SourceRow
109.0,2026-03-29,Suporte - Back To The Future,InPost,Shipped,7.0,Sim,,7.0,1,1,"March 29, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,109
110.0,2026-03-30,Suporte - Cars,Vinted Go,Awaiting Pickup,7.0,Sim,,7.0,1,1,"March 30, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,110
111.0,2026-03-30,Suporte - Back To The Future,InPost,Awaiting Pickup,7.0,Não,,7.0,1,1,"March 30, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,111
112.0,2026-03-30,Suporte - Back To The Future,CTT,Awaiting Pickup,7.0,Não,,7.0,1,1,"March 30, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,112
113.0,2026-03-30,Suporte - Back To The Future,DPD,Shipped,7.0,Não,,7.0,1,1,"March 30, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,113
114.0,2026-03-30,Suporte - Cars,Vinted Go,Awaiting Pickup,7.0,Sim,,7.0,1,1,"March 30, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,114
115.0,2026-03-30,Suporte - Cars,DPD,Shipped,7.0,Não,,7.0,1,1,"March 30, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,115
116.0,2026-03-31,Suporte - Cars,InPost,Awaiting Pickup,7.0,Sim,,7.0,1,1,"March 31, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,116
117.0,2026-03-31,Suporte - Back To The Future,InPost,Awaiting Pickup,7.0,Sim,,7.0,1,1,"March 31, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,117
118.0,2026-03-31,Suporte - Honda,InPost,Awaiting Pickup,7.0,Sim,,7.0,1,1,"March 31, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,118
119.0,2026-03-31,Suporte - Back To The Future,InPost,Awaiting Pickup,6.5,Sim,,13.0,2,1,"March 31, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,119
119.0,2026-03-31,Suporte - Cars,InPost,Awaiting Pickup,6.5,Sim,,13.0,2,2,"March 31, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,119
120.0,2026-03-31,Suporte - Back To The Future,InPost,Awaiting Pickup,7.0,Sim,,7.0,1,1,"March 31, 2026",🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,120
,,,,,,,,,1,1,,🧾Order History 2fe8f55ac2e88106b59dc58771ee78cd.csv,121
